source,title,description,url,published_at
Forbes,Real Madrid Legend Toni Kroos Reveals Coaching Plans,Real Madrid legend Toni Kroos used an interview with German media to reveal his plans as per potentially coaching in the near future.,https://www.forbes.com/sites/tomsanderson/2024/11/08/real-madrid-legend-toni-kroos-reveals-coaching-plans/,2024-11-08T09:58:53Z
Forbes,Real Madrid Needs A Succession Plan For Luka Modric’s Eventual Exit,"If Toni Kroos retiring wasn’t hard enough, life after Croatia midfielder Luka Modric—whenever that is—could be even more challenging for Real Madrid.",https://www.forbes.com/sites/henryflynn/2024/10/21/real-madrid-needs-a-succession-plan-for-luka-modrics-eventual-exit/,2024-10-22T01:23:05Z
ESPN,Klopp questions if Sergio Ramos is a 'good guy',Former Liverpool manager Jürgen Klopp has taken a swipe at Sergio Ramos when discussing the ex-Real Madrid star on a podcast with Toni Kroos.,https://www.espn.com/soccer/story/_/id/42108171/jurgen-klopp-questions-sergio-ramos-good-guy,2024-10-31T10:37:01Z
ESPN,Why Real Madrid should push to sign Joshua Kimmich in January,"Kimmich turns 30 in February and has won it all at Bayern Munich. Now, he could be the thing Real Madrid are missing -- here's why they should push to sign him before he becomes a free agent.",https://www.espn.com/soccer/story/_/id/42267538/real-madrid-joshua-kimmich-bayern-munich-transfer-rumors-free-agency-january,2024-11-08T16:29:00Z
Bleacher Report,Final Predictions for the 2024 Ballon d'Or,"For the first year since 2003, neither Lionel Messi nor Cristiano Ronaldo feature on the 30-player shortlist of potential men's Ballon d'Or winners. The…",https://bleacherreport.com/articles/10140625-final-predictions-for-the-2024-ballon-dor,2024-10-24T15:40:01Z
Forbes,Real Madrid Legends Slam Ancelotti: ‘The Team Has Slipped Out Of His Hands’,Two Real Madrid legends separately criticized manager Carlo Ancelotti in the aftermath of Tuesday's 3-1 Champions League defeat to AC Milan.,https://www.forbes.com/sites/tomsanderson/2024/11/06/real-madrid-legends-slam-ancelotti-the-team-has-slipped-out-of-his-hands/,2024-11-06T09:54:52Z
BBC News,You can't 'please everyone' - Klopp defends Red Bull role,"Jurgen Klopp defends his decision to become head of global soccer at Red Bull and says it was difficult to take a job where ""everyone is happy"".",https://www.bbc.com/sport/football/articles/c5yrvkewdzeo,2024-10-30T17:27:02Z
Sky Sports,Klopp defends decision to join Red Bull group,"Jurgen Klopp has defended his decision to head up Red Bull's group of clubs, saying he ""didn't want to step on anybody's toes"".",https://www.skysports.com/football/news/11669/13244635/jurgen-klopp-former-liverpool-and-borussia-dortmund-boss-defends-decision-to-become-red-bulls-global-head-of-football,2024-10-30T10:00:00Z
Forbes,"Real Madrid Blocks First Team Star’s Expected January Exit, Reports SPORT","Real Madrid has reportedly blocked one of its first team players, who has at least two potential suitors, from leaving the club in the upcoming January transfer window.",https://www.forbes.com/sites/tomsanderson/2024/11/08/real-madrid-blocks-first-team-stars-expected-january-exit-reports-sport/,2024-11-08T08:27:34Z
Forbes,Real Madrid Star Benzema Warns Mbappe: ‘They’re Going To Kill Him’,Real Madrid legend Karim Benzema sent a warning to his successor and compatriot Kylian Mbappe during an appearance on Spanish television.,https://www.forbes.com/sites/tomsanderson/2024/11/05/real-madrid-star-benzema-warns-mbappe-theyre-going-to-kill-him/,2024-11-05T08:14:32Z
Forbes,Who Could Replace Carlo Ancelotti As Real Madrid Coach?,"Carlo Ancelotti is under pressure after a poor start to the season for Real Madrid, and questions are being asked about who could replace him as the team coach.",https://www.forbes.com/sites/samleveridge/2024/11/06/who-could-replace-carlo-ancelotti-as-real-madrid-coach/,2024-11-06T11:23:13Z
CNA,Real Madrid boycott Ballon d'Or ceremony,PARIS: The Ballon d'Or ceremony got underway on Monday (Oct 28) in the absence of Real Madrid stars Vinicius Junior and Jude Bellingham after the Spanish club said it would boycott over a perceived snub of its players. Vinicius was not among the nominees who …,https://www.channelnewsasia.com/world/ballon-dor-fifa-ceremony-real-madrid-boycatt-4708476,2024-10-28T21:08:00Z
DW (English),Leweling stars as Germany reach Nations League quarterfinals,"Julian Nagelsmann's side has made the Nations League final phases, a first in four tries for Germany. A Stuttgart attacker was the star of the show in the 1-0 win over the Netherlands.",https://www.dw.com/en/leweling-stars-as-germany-reach-nations-league-quarterfinals/a-70493715,2024-10-14T21:40:00Z
Forbes,Ex-Liverpool Boss Klopp Attacks Liverpool Legend: ‘Not My Favourite’,Ex-Liverpool boss Jurgen Klopp attacked a Real Madrid legend when appearing on the podcast hosted by Toni Kroos and his brother Felix.,https://www.forbes.com/sites/tomsanderson/2024/10/31/ex-liverpool-boss-klopp-attacks-liverpool-legend-not-my-favourite/,2024-10-31T08:12:28Z
Worldsoccertalk.com,"Bad news for Ancelotti, Real Madrid: Starting midfielder sidelined with injury","This injury setback places considerable pressure on Carlo Ancelotti. He must now demonstrate his tactical flexibility and squad depth to navigate a demanding schedule without one of his key midfielders.
 Real Madrid midfielder Aurélien Tchouaméni faces a sign…",https://worldsoccertalk.com/news/bad-news-for-ancelotti-real-madrid-starting-midfielder-sidelined-with-injury/,2024-11-06T18:11:38Z
Worldsoccertalk.com,Kylian Mbappe reportedly 'not happy' with coach Ancelotti's tactics in Real Madrid,"With the star playing out of position, Kylian Mbappé is reportedly questioning Carlo Ancelotti’s tactics and Real Madrid’s overall style of play.
 Kylian Mbappe’s start to the 2024-25 season at Real Madrid has been far from smooth. While his move from Paris S…",https://worldsoccertalk.com/news/kylian-mbappe-reportedly-not-happy-with-coach-ancelottis-tactics-in-real-madrid/,2024-11-08T15:48:29Z
The Punch,"BALLON D’OR 2024: Lookman 14th best, Rodri claims prize","Ademola Lookman secured 14th position in the 2024 Ballon d’Or rankings at Monday’s glamorous ceremony at the Théâtre du Châtelet in Paris, as Manchester City midfielder Rodri Hernández claimed the prestigious prize. The Atalanta striker, who was the only Afri…",https://punchng.com/ballon-dor-2024-lookman-14th-best-rodri-claims-prize/,2024-10-29T01:26:06Z
Worldsoccertalk.com,Real Madrid to fire Ancelotti if no improvement soon: Who could replace him?,"Carlo Ancelotti, one of Real Madrid’s most celebrated managers, is facing mounting pressure and uncertainty regarding his future at the club following a series of setbacks this season. The club’s recent losses, including a 3-1 defeat to Milan in the Champions…",https://worldsoccertalk.com/news/real-madrid-to-fire-ancelotti-if-no-improvement-soon-who-could-replace-him/,2024-11-06T16:04:46Z
Worldsoccertalk.com,Blow for Liverpool: Alexander-Arnold gets astounding contract bid,"Real Madrid are edging closer to securing one of Europe’s top right-backs, Liverpool star Trent Alexander-Arnold. A potential five-year contract could tie him to the Santiago Bernabeu until 2029. According to CaughtOffside, Los Blancos are set to offer the 25…",https://worldsoccertalk.com/news/blow-for-liverpool-alexander-arnold-gets-astounding-contract-bid/,2024-10-24T18:49:52Z
Worldsoccertalk.com,Rodri vs Vinicius: 2024 Ballon d’Or sparks new controversy with final standings and vote process,"This year, the discourse surrounding Rodri’s win over Vinicius illustrates the difficulties in defining one player's impact over another's.
 The Ballon d’Or, an award designed to recognize soccer’s single most dominant player, always comes with an element of …",https://worldsoccertalk.com/news/rodri-vs-vinicius-2024-ballon-dor-sparks-new-controversy-with-final-standings-and-vote-process/,2024-11-08T17:50:59Z
International Business Times,Mbappe And Real Madrid Shaken By Clasico Thrashing,"Despite Barcelona's rapid revival under Hansi Flick, Real Madrid were confident heading into Saturday's La Liga Clasico at the Santiago Bernabeu.",https://www.ibtimes.com/mbappe-real-madrid-shaken-clasico-thrashing-3748336,2024-10-27T11:21:15Z
Hollywood Life,Ballon d’Or 2024 Nominees: Which Football Players Were Nominated?,The 2024 Ballon d'Or ceremony has arrived! See which male and female football players were nominated.,https://hollywoodlife.com/feature/ballon-dor-2024-nominees-5341817/,2024-10-28T19:26:07Z
The Punch,Real Madrid boycott Ballon d’Or ceremony,The Ballon d’Or ceremony got underway on Monday in the absence of Real Madrid stars Vinicius Junior and Jude Bellingham after the Spanish club said it would boycott over a perceived snub of its players. Vinicius was not among the nominees who paraded onto the…,https://punchng.com/real-madrid-boycott-ballon-dor-ceremony/,2024-10-28T22:03:17Z
Football Italia,Rodri wins 2024 Ballon d’Or: Every prize winner and runner-up revealed,"Another year of the Ballon d'Or award have come to a close, with Manchester City's Rodri pipping Real Madrid star Vinicius Jr. to the main award.",https://football-italia.net/every-ballon-dor-winner-runner-up-revealed/,2024-10-28T22:14:35Z
Football Italia,"Ballon d’Or 2024: Start time, where to watch live and nominees","The Ballon d'Or ceremony starts at 20:45 CET on Monday, October 28, and four Serie A stars are in the top 30: Hakan Calhanoglu, Lautaro Martinez, Ademola",https://football-italia.net/ballon-dor-2024-start-time-watch-live-nominees/,2024-10-28T14:21:30Z
FourFourTwo,Jurgen Klopp makes shock admission over his managerial future following RB Leipzig role,Klopp left Anfield earlier this year after nine successful years on Merseyside,https://www.fourfourtwo.com/news/jurgen-klopp-makes-shock-admission-over-his-managerial-future-following-rb-leipzig-role,2024-11-01T16:40:52Z
Forbes,"Real Madrid Decides Ancelotti Future After Meetings, Reports MARCA","Real Madrid's board, led by president Florentino Perez, has reportedly decided manager Carlo Ancelotti's immediate future following key meetings.",https://www.forbes.com/sites/tomsanderson/2024/11/06/real-madrid-decides-ancelotti-future-after-meetings-reports-marca/,2024-11-06T15:52:26Z
Forbes,"‘Furious’ Real Madrid Prepares This Ancelotti Replacement After FC Barcelona Thrashing, Reports SPORT",'Furious' Real Madrid president Florentino Perez has chosen a replacement for Carlo Ancelotti and given the green light to sign him after a thrashing by FC Barcelona.,https://www.forbes.com/sites/tomsanderson/2024/10/27/furious-real-madrid-prepares-this-ancelotti-replacement-after-fc-barcelona-thrashing-reports-sport/,2024-10-27T11:12:41Z
Forbes,"Saudi Arabia Presents ‘Unrejectable’ Offer To Real Madrid Star Who Is Not Vinicius, Reports Voetbal","A Saudi Arabian club has reportedly made an ""unrejectable"" offer to a Real Madrid first team star other than Vinicius Jr.",https://www.forbes.com/sites/tomsanderson/2024/11/01/saudi-arabia-presents-unrejectable-offer-to-real-madrid-star-who-is-not-vinicius-reports-voetbal/,2024-11-01T09:25:08Z
FourFourTwo,"Real Madrid to replace Carlo Ancelotti, with departure date set: report",Real Madrid manager Carlo Ancelotti is under fire - thanks to two Germans,https://www.fourfourtwo.com/news/real-madrid-to-replace-carlo-ancelotti-with-departure-date-set-report,2024-11-06T12:14:16Z
The Times of India,Will the real Real Madrid show up?,"Real Madrid's usually indomitable spirit at the Bernabéu seems to have waned this season. Despite the arrival of Kylian Mbappé, the team has faltered, particularly in midfield and defense, raising questions about their European dominance and the effectiveness…",https://economictimes.indiatimes.com/news/sports/will-the-real-real-madrid-show-up/articleshow/115089641.cms,2024-11-08T14:21:31Z
FourFourTwo,Manchester City lining up superb Ilkay Gundogan replacement: report,Manchester City only re-signed Ilkay Gundogan over the summer - but are already in for a player to replace him,https://www.fourfourtwo.com/news/manchester-city-transfer-news-lining-up-superb-ilkay-gundogan-replacement-report-tijjani-reijnders-milan-signings-rumours-gossip-paper-talk-mcfc,2024-10-28T18:00:00Z
The Irish Times,Real Madrid stalked by Galáctico ghosts as revived Barcelona come calling,Retirement of midfield linchpin Toni Kroos has unbalanced Real Madrid's midfield while Kylian Mbappé's on-field relationship with Vinícius Junior has yet to click,https://www.irishtimes.com/sport/soccer/2024/10/26/read-madrid-trouble-in-the-white-house/,2024-10-26T05:00:00Z
Forbes,Real Madrid Star Courtois Fires Back At Atletico Madrid Rival And Former Boss Simeone,Real Madrid goalkeeper Thibaut Courtois fired back at Atletico Madrid coach Diego Simeone ahead of Tuesday's Champions League clash against Borussia Dortmund.,https://www.forbes.com/sites/tomsanderson/2024/10/21/real-madrid-star-courtois-fires-back-at-atletico-madrid-rival-and-former-boss-simeone/,2024-10-21T16:04:26Z
Business Standard,"UEFA Nations League Highlights: France beat Belgium, Germany win at home",The win took the Italians straight to the top of the table with 10 points in Group 2. They are followed by France and Belgium with 9 and 4 points respectively.,https://www.business-standard.com/sports/football-news/uefa-nations-league-highlights-france-beat-belgium-germany-win-at-home-124101500139_1.html,2024-10-15T04:24:51Z
FourFourTwo,"Liverpool report: Aurelien Tchouameni set for move, with Reds poised","Liverpool are in the driving seat for Aurelien Tchouameni, who is destined to leave Real Madrid",https://www.fourfourtwo.com/news/liverpool-transfer-news-report-aurelien-tchouameni-set-for-move-with-reds-poised-real-madrid-signings-rumours-gossip-paper-talk-lfc-ynwa,2024-11-06T15:30:00Z
The Times of India,Confident Barca visit unpredictable Liga champions Madrid,"Barcelona, leading La Liga, face rivals Real Madrid in a crucial Clasico. With Barcelona's three-point lead and their recent form under new coach Hansi Flick, the match is crucial. Madrid, despite injuries and inconsistency, hope to leverage Vinicius Junior's…",https://economictimes.indiatimes.com/news/sports/confident-barca-visit-unpredictable-liga-champions-madrid/articleshow/114596845.cms,2024-10-25T18:28:52Z
ESPN,UCL talking points: How good is Pulisic? Is Vinícius a Ballon d'Or lock?,"After matchday three of the newly formatted Champions League, our writers answer the burning questions, provide analysis and break down performances.",https://www.espn.com/soccer/story/_/id/41962607/champions-league-how-good-pulisic-vini-ballon-dor-lock,2024-10-24T01:33:20Z
ESPN,Rodri vs Vini Jr: Margin of Ballon d'Or win revealed,"France Football, the magazine that organises the Ballon d'Or award, have revealed the margin by which Manchester City midfielder Rodri controversially beat Real Madrid's Vinícius Júnior to the prestigious individual prize.",https://www.espn.com/soccer/story/_/id/42269835/ballon-dor-report-shows-margin-rodri-win-vinicius,2024-11-08T17:33:40Z
NDTV News,Confident Barcelona Visit Unpredictable La Liga Champions Real Madrid,"La Liga leaders Barcelona visit rivals Real Madrid in a mouthwatering Clasico on Saturday, aiming to strike a significant blow in the Spanish title race.",https://sports.ndtv.com/football/confident-barcelona-visit-unpredictable-la-liga-champions-real-madrid-6868352,2024-10-25T02:47:14Z
NDTV News,Vinicius Hat-Trick Fires UCL Holders Real Madrid To Dortmund Comeback,"Real Madrid struggled in the first half against the Bundesliga side, who went two goals up through Donyell Malen and Jamie Gittens.",https://sports.ndtv.com/uefa-champions-league/vinicius-jr-hat-trick-fires-champions-league-holders-real-madrid-to-borussia-dortmund-comeback-6852258,2024-10-23T03:14:57Z
