file_name,format,duration,size,video_codec,video_resolution,audio_codec,transcript
„Das hebt ihn vom Rest ab!“ ｜ ＂Bromance＂ mit Thomas Müller & Toni Kroos.webm,"matroska,webm",0:13:50.588000,97.72 MB,vp9,1920x1080,opus," Du weißt, ob ich es läuft. Die großen Spiele machen es doch aus. Ja, aber die rausgesetzt. Ihr seid ja langweilig. Ich bin nur ein Läckerchen, wenn ich beim Ton die große Schnappe. Heutzutage würde ich sagen, bevor man mich rechts außen bringt lieber nicht. Schlechte Stimmung machen. Wir sehen uns bald. Wie bringt man so den Tag um? Aus Arbeit, langeweile und Hochspannung. Aber natürlich ist die Hochspannung in so einem normalen Trainingstag. Er bei den Gesellschaftspielen und beim Fußball gucken. Als Band Training oder so. Die Spannung bei Turnier ist auf durch die Spiele bestimmt. Da sagen wir mal, der Tag geht gefühlt und ticken schneller rum, wenn es wieder gut ist, wenn man ein bisschen noch einen Pool rumliegen kann. Vor drei Jahren war es ja so. Ich glaube, da hatten wir ja durchgängig Topwetter. Jetzt ist es bescheiden, aber ich gefühlt. Wir sind jetzt schon relativ lang dabei. Umgewöhnlich lang für eine Nationale Mannschaft. Netzter Zeit. Ja, stimmt. Vorher war man eigentlich immer. Aber gefühlt ist irgendwie von Lagerkollern und wir glauben noch ein Stück. Aber ein Ferngefährd. Für die Finder war es 2016, oder? Seitdem jetzt hier sind es Turnier losging, fand ich die Tage ziehen sich jetzt nicht so extrem. Hab ich das Gefühl noch nicht. Dürme zu, die Woche finde ich es ein bisschen... Ich läuft zum Bissel C an, aber... Ansonsten, wenn man sich überlegt, dass wir beide Ulli sind ja schon seit Ende Mai hier. Also, wenigstens zu beklagen. Ist das was anderes, wenn du nach vorne bist? Oder jetzt immer diese Entscheidung gespielt hat, wo man immer das gefühlt hat? Ja, total. Deswegen sind wir ja wegen den Spielern zu mehr. Aber ich würde sagen, da kommt der da reizerstes. Da fängt es ja an Spaß zu machen, um uns vor allem im Diverse zu gehen. Es macht natürlich wenig Spaß, dann zu verlieren und direkt nach Hause zu fahren. Und am Ende wollen wir ja diese Entscheidungen haben, diese Spiele. Leider war es ja in den letzten Donnern so, dass ja eigentlich die entscheidenden Spiele schon ab dem zweiten Gruppenspieltag eigentlich schon immer kam. Dann haben wir es noch mehr kribbelige Momente geschafft. Ja, ungewollt, dass, wie gesagt, bis 2016, du sprachst ja von unseren langen Karrieren. War das ja eigentlich so, da wurde die Gruppenphase so hinweg gesehen, weil die wurde so... Und das hat sich ein bisschen geändert. Deswegen, umso schöner, dass man noch hier sind, jetzt vor dem Viertelfinale würde ich mal sagen. Aber klar, die Spiele machen es am Ende aus und gefühlt, was bei anderen Turnier immer so, dass sich es bis dahin er gezogen hat. Und ab dann, K.O. Spieler, wo es dann eh, weil man wusste, es dauert jetzt auch nicht mehr ewig. Ich meine, wir sind jetzt auch nicht mehr weit weg. Also, es sind noch zehn Tage, glaube ich, ungefähr dieses Turnier überhaupt nur geht. Ja, ich hoffe, für uns natürlich auch. Aber jetzt geht's eh knackig. Du weißt doch, wie es läuft. Die großen Spiele machen es doch aus. Am Ende geht's jetzt, das, was von dem Turnier normalerweise übrig bleiben sollte. Das kommt erst noch, weil es halt da wirklich, weil das die besondere Momente sind. Habt ihr denn so irgendein, ein Moment in neuer Karrieren? Ja, unser erstes Lennerspiel war ja, wir haben ja gemeinsam debitiert. Stimmt. Der ein ist für den anderen ausgestraft. Ich zeige es euch vor. Tony rechts aussen gespielt. Ja, das ist richtig. Wir haben danach nie wieder. Ja, er ist das Spiel logischerweise besonders. Also, ich hab, ehrlich gesagt, damals auch noch nicht mit gerechnet. Ich hab ich euer Leberkuchen. Wenn ich jetzt, wenn ich jetzt in dem Moment damals, oder mich da zurückdenken, dann war es natürlich toll, wenn ich mir heute daran zurückdenken, dann würde ich sagen. Ich kann vielleicht falsch geliehen. Ja, ich weiß auch nicht, was Joji damals vorhatte mit mir. Ich hab dich einfach brinke. Ohne das ist ja was. Metterzuge wäre so voll, nicht mich zu bringen. Heutzutage würde ich sagen, bevor man mich rechts außen brinke, lieber nicht. Aber damals war das auch in der schönen Sache. Wenn ihr an die WM zurückdenken, zu 2014, gibt es auch für euch so ein Highlight. Es war schon voll von Highlight so nach hinein, zumindest. Der Pool, die Bananenmischekts. Ja, sie waren schon sehr gut. Ja, die Spiele kennt ihr jeder. Klar, Brasilien. Wenn ihr jetzt ein Trainer, also ihr habt gegen Real gespielt. Aber Real mal nicht. Ja, sein Tony bei Real ist, war real kein guter Gegner für uns. Natürlich stellst du dich erstmal auf die Manche rein und dann natürlich auch, bis wir auf die einzelnen Spieler und Thomas ist ja grundsätzlich. Genau, Thomas. Also, konnten wir uns auf Thomas schlecht einschauen, weil wir nicht mit ihm in einer Formation mit den Händen haben. Ja, so jetzt. Ja, das andere erinnigt mich gar nicht mehr, Schächle. Ja. Und das war schwer einzustellen, weil wir nicht mit ihm gerechnet haben, aber im Rückspiel haben wir uns voll auf ihn eingestellt. Und da hätten wir nicht mit ihm gerechnet müssen. Das kann man sich vorstellen, lieber so einem Hundetraining bei der Polizei. Dann krieg ich immer nur ein Läckerchen, wenn ich immer nur ein Läckerchen, wenn ich bei Tony groß schnappe. Wasser und immer wenn ich ihn dann sehe, dann mach ich ... Und er macht halt an Haken und spielt dann eine Balltortzimmer. Mir bringt das jetzt nichts, wenn jetzt der Karl um mir gesagt hat, da so ein Thomas bewegt sich in dem oder dem Raum, weil das ... Es gibt da keine rote Linie bei ihm, er macht er am Ende was er will und das ist ja schon die ganze Gejährung. Ich habe immer da hinzugehen, wo kein Gegenspieler ist. Das heißt, wenn er hinterher läuft, dann auch wieder woanders hin, wo wir vielleicht dann doch keiner ist, also dem er sprechen. Also, er ist aber trotzdem immer einigermaßen eklig zu verteidigen. Ich immer hinten im Rücken herumschleiche. Nein, aber es ist so. Ich glaub, er ist ja jetzt nicht nur in dem Fall so. Ich glaub, das zieht sich ja durch die Karriere. Ich glaube, das ist relativ schwer. Ich habe hier ein querter Methone gespielt, da wo ich mich positionäre, spielt er den Ball gerne durch die Linien durch. Ich glaub, das ist ja einer recht gut wusste, was da andere denkt. Genau, wir kennen uns ja schon seit Jugend sozusagen. Wenn wir ja wär mehr Tony Loews, heißt ich immer was, die einer stimmt, aber haben wir noch nie losgeheißt von Hansa Roztok damals. Und ... Wir haben in der A-Jung ein Jahr zusammen gespielt. Er war natürlich ein Jahr, ein Jahrgang jünger. Und trotzdem natürlich logische Weise aufgrund seiner Fähigkeiten. Schon eins oben. Und es hat ganz gut gepasst. Wir wissen ja, dass er sich gerne nach links abkippen lässt. Und das war damals auch schon so, vielleicht nicht ganz so tief, sondern ein Tick höher. Und ich aber immer damals, hab man vier, vier, zwei Raute gespielt, glaube ich, oder? Ja, viel los. Und da war ich der rechte Rauteenspieler oder halt so, halb Stürmer, weiß der Kuck, also offensiv, halb rechts. Und ich bin halt dann immer einfach so einen tiefen Lauf. Und Tony hat damals auch schon einen guten Fuß gehabt. Er hat halt den Ball der Diagonal in Raum. Ich bin in der Rangelauf und hab dann versucht, drei zu verwandeln. Und deswegen war das damals schon ... Hat mal damals schon eine relativ gute Verbindung auf dem Platz. Weil wir vom Spieler Typ uns nicht im Weg gestanden haben. Also ... Ich war froh, wenn jemand in den Ball hatte, der in einen Gut-Achenschpiel konnte, wo ich hingelaufen bin und andersrum brauchst natürlich als Absender, ob immer ... ... ein Briefkasten in der Paket zustämt ist. Der spielt bei Wind, bei Regen, bei Sonne, ob vor 40.000 oder vor zwei Zuschauen immer den gleichen Stiefel. Also, das ist unkaputtbar. Und dementsprechend ... ... gerade das, dieses Selbstverständnis, wie man Fußball spielt. Und diese eigene Identität als Fußballspieler. Das ist ja das, was uns oft gefällt hat. Und bis wir in diesen Jahren, wo er auch viel Fonsicherungen einkam. Weil wir eben nicht erfolgreich waren. Und weil vielleicht auch ein paar Zutaten gefällt haben. Ähm ... Und dementsprechend war ich davon am Fahrend dafür. Aber ... Tony hat ja am Anfang gesagt, also 2021. 21.000, seit jetzt mal kurz hat er dritt. Kann zwar, dass ich weg hab ich gelockt. Ha ha ha. Was hast du dich gefuert, wieder hinzutreffen, mit ihm zu spielen? Ja, klar. Es gibt ja ... Es gibt ja ... Ha ha ha. Es gibt ja ... ... ein paar Minuten gegen Schottland. Es stimmt. Nein, natürlich. Es gibt ja irgendwie so Verbindung, dass es egal, ob es mal drei Jahre Pause ist. Das ... Das ... das ... passt. Weiß er außerhalb wie auch auf dem Platz. Wie gesagt, Thomas hat er recht. Wir haben jetzt seitdem zwar nicht viele Minuten zusammengespielt. Aber wenn der Moment käme, dann bräuchte es da keine Anpassung. Und das hat nicht nur was zu tun, dass das seit ... Ich 2007 oder so war. Sondern es geht einfach um ... Spielertypen. Ich glaube, es gibt ja ein paar gemeinsamen Interessen. Keine Ha ha ha. Ich spiel Golf. Genau. Ja, aber da war eigentlich eine Heine zum Beispiel. Also passt der wunderbar. Poker haben wir nennen. Ich glaub, Thomas ist sowieso unabhängig davon auch von den Minuten. Ich meine, das waren damals, weiß ich, 14, 16. Wann ist es loggerweise ein paar Minuten als heute. Aber wenn er jetzt nicht spielt und am nächsten Tag ist ... ... ist das Training. Ja, was auch unter Fachkreisen auch. Das ist halt ein Arschloch-Training. Nein, das ist nicht so. Also, da hast du grundsätzlich ... ... grundsätzlich mal keine Lust drauf. Weil du eigentlich eine gewisse Enttäuschung ... Und Spieltag. Ja, aber du weißt auch ganz genau, was ich meine. Ja. Also, das Training an sich ist ja eigentlich das Ziel, das zu verpassen. Weil du am Tag vorher gespielt hast. Und das ist eines der spaßigsten Trainings. Wenn du es ruchst, dann ... Ich würde auch ... beide. Ich hab auch überlegt, beide schon zu spielen. Einmal macht meist einen Torscher-Siebum und einen 5G-5. Und hat danach was ... Nein, aber was ich sagen würde ist, wir haben uns das letzten ... ... dann angeschaut, auch noch, das Training danach. Und es ist Thomas halt Wusch. Thomas macht trotzdem die ersten drei Tore für sein Team in so einem Training. Obwohl er mit Fug und Recht behaupten könnte, was das Training ... ... lass ich weg oder da mache ich mal ein weniger. Weil hier das können dann noch 20 oder 22-jährige Volgas geben. Und das halt nicht der Fall. Und das meine ich mit, das tut einem gut, weil ich das andere mal sehr gut anschauen können. Ja, die geben recht. Also ... Manchmal muss man den Finger schon in die Wunde legen. Und das ist nicht irgendwie blöte Herrreden, sondern einfach nur vorleben, was es bedeutet. Ähm ... Und da ... Es gibt ja ein Grund, wie sowas Spieler. Christiano Ronaldo, Messi ... Ähm ... Tony Luca-Motritch. Alle, die ganz lange, ganz oben waren. Die vereint ja nicht irgendein Trick. Oder eine ganz besondere, fussballerische Fähigkeit. Die sind alle unterschiedlich. Was sie alle haben, ist, sie performen wollen immer performen. Und da ist nur ein gewisser Trainings-Einsatznotwendig. Aber wirklich auch diesen Performance gedanken. Dass es nichts wichtigeres gibt, als dieses Leistungbringen auf dem Fußballplatz. Und das kriegst du da halt auch nicht mal raus. Also das ist dann auch ein Futterin. Genau, was das Gefühl zu gewinnen. Oder selbst ... Gut, selbst Thomas freut sich ja noch, an diesem Training ein drei Tor zu machen. Und das ist ja das, was ihnen dann auch irgendwo abhebt, von dem Rest. Deswegen sind wir dann in dem Alter noch da, wo wir sehen und andere werden es dann nicht mehr sein. Das ist schon eine Grundeinstellung. Die Weltspitze kommen halt wahrscheinlich. Ja, oder? Ja, das stimmt. Aber das du glaube ich, in dem, was du machst, versuchst, gut zu sein. Und dafür investieren musst du. Das ist schon etwas, was auch sehr über den Fußball hinaus wichtig ist. Wenn du mir erzählte, vor zehn Jahren nicht, wird Magnetfeld-Matten und weil es da Kuckuck in die Eisbeckenkinder und dann mit ich am nächsten Tag ein gutes Training macht, dann hätte ich anders geantwortet, das heute. Könnt ihr euch vorstellen, nach hier beide auch Fernseh-Experten zu werden? Also ich könnte mir sehr gut vorstellen, dass Thomas Experte ist, weil natürlich sehr gut reden kann, analysieren kann. Aber nicht, aber nicht. Das ist ja, du bist ja eigentlich ein Selbstanhandeller-Experte. Aber ich glaube nicht, dass er Experte wird, weil ich glaub, unser Trainer wird, weil das Spiel versteht, dass der Bock auf Fußball hat und auf Erfolg. Und weil er die Spieler, glaub ich, sehr gut einschätzen kann und auch versteht. Ich meine, er hat die besten Trainer gehabt, die es gibt. Da kann man auch ein Stück mitnehmen. Er hat einfach Bock und ich glaube ihm macht zum Beispiel dieses tägliche und dieses Reisen und eine Hôtelzeigen, glaub ich, weniger aus, in dem so nahe als mir. Nein, ich werde auf jeden Fall ... Das holen mich in Ruhe. Experte und wer hat all den Spielern, die mich genervt haben, dann werde ich so richtig ausbrutschen. So richtig ausbrutschen, mit der Keule werde ich kommen. Boom! Ja. Und dann werde ich mein Einsteckung richten. Ja, zerdink, muss er mich da nicht mehr analysieren. Das ist gut. Also, Worauf Bock hab, ist schon mit Jungs zu arbeiten, also eher so Nachwuchs. Der hat eine tony-Cross-Akademie. Ja. Und sagt, als Trainer sehe ich wenig. Ich hab die Academy, ich hab die Teams und hab aber die Trainer. Und ist kein Team-Trainer, du bist ein ... Über Schauer das. Und kann mir halt meinen Tagesplan selbst einstellen. Und dann mal ein Technik-Trainer für Jugendliche. Ich bin Sportdirektor, meine Augen da. Abstehesten, Spanien. 50, 50. Schau mal mal. Der Entweder bekommt weiter oder nicht. Das ist mathematisch. Damit nehmen wir ... Wir haben seit Ewigkeit nicht mehr gegen die Spanien gewonnen. Also, kannst jetzt so oder so sehen. Wir sind näher dran, dass die Serie reißt, vielleicht ... Vielleicht auch nicht. Wir sind gut, jetzt kann man den Münd zu werfen. Und dann ... Ich hoffe, dass wir auf jeden Fall ... Ich meine, wir spielen zu Hause. Ich hoffe, dass wir das in Situationen, weil das Spiel wird in Situationen. In gewissen Situationen, wie jedes, aber ... Vielleicht sogar in wenigeren Situationen oder Entscheidenden. Vielleicht spielen Torene nicht, also sogar noch zusammen. Das wäre ... Wir deuten, dass wir ... Vielleicht ein Tor, oder auch. Aber ... Es ist anders, wollen wir es vielleicht doch lieber nicht. Lieber die drei Innenverteile, die eingewächst werden."
How many Chelsea players can you name in 30 seconds？ ｜ Alaba & Kroos.webm,"matroska,webm",0:08:26.628000,131.12 MB,vp9,1920x1080,opus," What's up Marista? Welcome to another video. As you can see today, I'm drawing with two special guests. Tony, gross. How are you? I'm good. Thank you. David, I love you. Okay, so today we have a new game. It's called Lies. It's pretty simple. Let me explain it to you. I will name a topic. Let's say football stadiums. And I will ask you, Tony, how many football stadiums do you think you can name in 30 seconds? Give me a number. 10. 10. And I will go to you. You have two options. You can raise that number or you can say, Tony, you're a liar. And in that case, you will have to prove. You can name them. You will have 30 seconds. If you do it, I'll give you a point. If not, I'll give it to you. Understood? Understood. Yeah? Ready? Let's start. Okay, so the first topic is going to be Premier League teams. Okay, Tony, how many do you think you can name in 30 seconds? 9. David? Yeah, 9. You can do that. Do you think you can name more? This is the problem. There's no third option, right? Lies. Lies? Okay. Are you ready? I'll give you 30 seconds. Three, two, one. Go. Burnley Westham, Tottenham and United Chelsea Liverpool Arsenal. Manchester City. They are not in already, no? No, I think you got eight. You have 30. 12. 10 seconds left. Newcastle. One more. 9. It was 9. It was not to know it. Okay, that's it. Okay, I can do it. I can do it. I can do it. I can do it. I can do it. I can do 20 if you want. You think you can do 20? Yeah, but I don't have to. But I don't have to anymore. You got it. Okay, first point for Tony Cross. That was impressive. Yeah? Was impressive. Yeah, well done. Yeah, yeah. I'm impressed by myself. Okay, next topic, teams that have won the Champions League. In the Champions League era since 1992. How many do you think you're name? One. I can name, I guess. Eight. Eight. Tony. Come on guys, you can start thinking about the... Okay, let's go. Okay, you're a liar. Ready? You have 30 seconds and you start in three. Two, one, go. Real Madrid. Bayern München. Liverpool. Chelsea. A. Semila. Barcelona. Tomorrow, right? Tomorrow, it's the girl. Ten seconds. Under pressure. Chasse. That's it. That's it. Time's up. There are 13. Do you think you're on the fourth round? 97. There are 13. Do you think you're on the third round? Next topic, English singers or English bands? Music bands. Tony, how many do you think you can name? It's a tough one. Yeah. I start with four. Four. David. Two thousand years later. Four. He said four. Four is not much. Do you want to raise it? I think I can raise it. Come on, go for it. I'll hit that and he said. Hasano frazzi con glistula, League. Five. Because he knows the four. Okay. Five. Yeah. Do you want to raise it? I should, I guess. Yeah, I do six. Six. Laya. Laya. Okay. Six in 30 seconds and time starts now. You two. Coldplay. You two, Coldplay? Ed Sheeran. Ed Sheeran. Ann Marie. Robbie Williams. He has a good idea. Liam Gallagher. Liam Gallagher. Okay. Six. Nice. Good job. Yeah. Okay, so what's that? I did it. Three zero. I can go. Three zero. Yeah. Well, we have two more left. The next topic is current members of Chelsea's squad. David. How many do you think we can make? 30 seconds. 11. 11? 13. 13? 30 seconds. 30 seconds. Yeah, you have two fasts. Laya. Laya. Okay, 13. Right? You start in three to one go. Mandy James Luriga. Havats, Verna. Jojinho, Kovačić. Kanté. Lukaku. Mount. You have three left. Pulizic. In 10 seconds. Okay. No, I don't know. That was good. Okay, let's go with the last one. The topic is. I'm getting it in very well. Yeah. So this is... This is Anton. Show it after the Chelsea. Countries in Europe. European countries. That's the best. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. That's the topic. Tony. 10. 10. 11. 11. Both. Go. Okay. 12. And you start in three to one go. Germany, Austria, Switzerland, Luxembourg, Belgium, Netherlands. Spain, Portugal. Norway, Sweden, Czech Republic. Finland. That's it? That's it already? No, one more. One more? I'll give you five seconds more. One more. Come on. One more. Come on. I'll give you one more. It was 12, right? Yeah. No, I was. Oh, okay. It was 12, right? Yeah, okay. I knew it. I was looking at Nick. Okay. Tony. Hey, Anton. Well done. That was impressive, man. Okay, guys, who do you think should do this game next time? Give me two players. Who I would like to see? Look at Vaskets. Look at Vaskets. Look at Vaskets. Here you can see another one. Look at Mordic. Look at Mordic. Okay, we will try it. That's it for this video. Thank you. I hope you enjoyed it. If you enjoyed it, remember to leave a thumbs up. And I'll see you in the next one."
Toni Kroos spots fan holding a 'Kroos is the best' sign ❤️.webm,"matroska,webm",0:00:14.168000,9.20 MB,vp9,1080x1920,opus, All CoolDog
Carragher ran off to get an interview with Kroos! 😅🎤.webm,"matroska,webm",0:00:40.868000,17.78 MB,vp9,1080x1920,opus," We fill you in on why there's only three of us over here and that's because Jamie Carrick has thought, my goodness, we're a long way from where all the players are. So here's what I'm going to do is I'm going to go over there, I'll get a player and I'll bring him back to the desk. What does Jamie do as soon as he sees a player over there? Things I know, let me speak to Tony Kroes, the man of the moment, get an interview for myself. You've been a legendary footballer. What's it go out on your last game as a Champions League winner for Ray Armajid? Yeah, it could be worse. There was a plan, I guess, so it seems that in these games we're not able to lose. What is different and special about Ray Armajid that you have so much success in the Champions League? You don't lose finals, I think that's a good base to have, I guess."
Kroos Effects 🪄.webm,"matroska,webm",0:00:24.728000,9.26 MB,vp9,1080x1350,opus, 보고싶어요
Toni Kroos Not Usually this Angry 😳.webm,"matroska,webm",0:00:37.128000,8.28 MB,vp9,1920x1080,opus," Sony as far as Rahim was he pushed by so Sevilla allowed to continue bad day running into Tony Cruz and the referee has given Sevilla the free kick and because I think of the complaints by Tony Cruz a yellow card for the German. Yes, absolutely. The team is not about the foul. It's about the complaining. But he's he's got a lot of experience. He has to know that once the referee blow the whistle. Obviously, you know, you are in the game. You're 100% concentrate. You're committed. Your emotional factor is very high."
Which Real Madrid player could be an actor？ ｜ Kroos & Modrić ｜ TEAMMATES.webm,"matroska,webm",0:04:36.228000,112.57 MB,vp9,1920x1080,opus," Oh, Luca o Tony. Me he tardado con mi amigo. Yo creo que es eso. Bienvenido a el primer capitulo de T-Mates. Yo creo Tony porque está todo el átomo de la vida. Y se tiene que caer una vez. Porque soy muestra muy värde. Za, déjame ponerle un informações, multiplicando el filtrón, étale y quitando la camouflall laugh. Yo nozelf. No sé. Ajáme, no. Si esto lo son. Depending.はじめまして ken該 con una dos y un peque. me Pharaoho gadgeto, muy bien Parece que a mí es bien mouse Μes, computationa Fuego Lucas怎麼 no puede, bands ¿Quien posea lonely? Escbone,uelle kali No es mejor, no sé. Es que hay mucha más técnica que fuerte, fuerte, antes lo do. Alipot, me gusta mucho. Tony, yo tengo ahora, pero primera vez siempre cofía 7. Tony, más veces. Sí, yo antes. Me gusta, no, pero este coche no es eléctico, pero hace un año tenemos un coche de encasa, una hora y también eléctico para mi mujer y también me ha gustado mucho. No tengo ninguno. No sé, hay que ver en Instagram cuánto foto tiene. Sí, que yo estoy un poco más ativo en Twitter. Sí, sí, sí. Tony creo que sí. No tengo tiempo con lo que yo creo que la no me gusta ver, sé. Sabe sobre todo si me engancha alguna quiero verle, ya te tiro. En tonpo es Lucas. Tony, lo estás traído en fin. No sé, todavía no. No sé, todavía no. No sé, todavía no. No muy bien, pero tengo a veces entrenos a mi hijo. También, también. Ay, yo seguro que no. Llego tampoco. Y los dos males, eh. Ni uno. ¡Ramos! A veces no bien, pero... Sí, también, pero a mi primero. Vale. Yo pensaba poner el, pero... Tú creo que también... No sé, pero... ¿Cómo con estos podcastes? Sí, sí. Eso no voy a hablar más, eh. ¿Habéis hecho una vez, no? ¿Hisco? Sí, él una con su mujer. Entonces tú es seguro con esto. Pero sé que ha comado hecho de su alma más o menos. A ver, a ver. Espero que hayas gustado el vídeo y seguimos en el canal de YouTube."
Toni Kroos teaches YOU how to be a GREAT midfielder.webm,"matroska,webm",0:03:56.708000,136.89 MB,av1,3840x2160,opus," To be at the top midfielder you should be good in attacking and defending and controlling the ball. You need to be fast in your actions. For me it's the most important position because if you control the midfielder you have a good chance to win the game. Guys and girls today we get to hang out with Tony Kroes and to use our time wisely. We wanted to learn as much as possible about becoming an elite midfielder from the man himself. So let's jump right into it. Is there a key thing that separates the great players from the good ones? I think you need a bit of constant. Every player has good games, bad games. But if you're on a great level for a lot of years these are the big players and for sure that can show the quality in the big games in the big moments. There's not a big difference between a lot of players but the difference is to show this in the right moments and the big players does. During your time in Real Madrid you ping in balls to players like Isko and Bale all day every day. Can you try and explain to me a little bit the technique behind the long pass? Of course I trained a lot these passes because it's my style of playing to give good passes to my teammates. That's the most important that the pass is with an idea. The teammate I passing to can continue the game in a good way or I make it easy for him. And for this of course the pass has to have the right power, the right direction and this is the most important thing. With the left also? Yes please. Are you like specifically trying to get the backspin on the ball? On a long pass maybe for 30-40 minutes it's about the power. That it's not the ball like this, then it goes straight because it's more fast. What kind of elements and like attributes players need to be a top level midfielder in today's football? If you're a top midfielder you should be good in attacking and defending and controlling the ball. If you play in the centre it's more important to be fast in your mind than with your legs because you don't have that much time to run long spaces. But you need to be fast in your actions to control the ball well and this gives you a lot of time. It's the most important position because in the middle it happens a lot and if you control the midfielder you have a good chance to win the game. Obviously we heard to talk about the new Real Madrid shirt. Are you a big fan of shirts? Is it important for you to look good on the pitch? Yes, I'm also happy with the shirts Real Madrid choose for us because it's high quality and always looks good in our first kit. It's not what I'm wearing now but our first kit is always wide what I love. Obviously it's a big thing for players to swap shirts. Do you have a big collection at home? No, not really. Not really to be honest. Of course sometimes in the situation you change shirts but I'm not a guy that does this after every game. Obviously you've been in Madrid for quite some years already. What has been the most surprising thing about playing for Real Madrid? Of course it's a surprise to you how big this club is but the good thing is I already came from a big club. It was not that new as you maybe come from a small club to a Real Madrid. It's a great atmosphere in a locker room in all the club and I really love this."
＂You ask sh＊t questions＂-Toni Kroos Leaves Interview Angrily after Champions League win vs Liverpool.mkv,"matroska,webm",0:00:56.828000,23.56 MB,h264,1920x1080,opus," Auf dem Angeg gar nicht so selbstverständlich war. Was ist schon selbstverständlich? Ich glaube, das ist nicht so gewesen, das ist auch nicht selbstverständlich. Ich glaube, wir haben großen Fight geliefert. Wir wussten, dass Liverpool eine super Mannschaft ist. Was heißt nicht selbstverständlich? Wir haben gewonnen. Fertig. War das überraschend für Sie, dass der Real Madrid doch ganz schön im Betränknis geraten ist? Also, du hattest 90 Minuten Zeit, der vernünftige Fragen zu waren. Und der stellt es mir zwei so scheiß Fragen. Ich finde, gar nicht so an. Ich finde, das ist so schlimm, weil es zu beeindruckt ist. Das ist so gegen Liverpool unter einen Betränknis. Was hat das für eine Frage? Wir spielen ja nicht in Gruppenspiel irgendwo. Wir spielen es Champions League Finale. Aber das ist so deutlich, dass der Real Madrid war ja in der Kauphase schon ein paar Mal so zu sagen, so gut wie weg. Jetzt ist er weg. Ganz schlimm."
TONI KROOS' LAST MATCH AT SANTIAGO BERNABEU WENT LIKE THIS 🥲🩶 #football #realmadrid #shorts.webm,"matroska,webm",0:00:30.148000,15.74 MB,vp9,1080x1920,opus," Tony Crows entered his last match at Santiago Bernabéu to applause. A small Real Madrid fans banner actually explained how early it was for everything. As he left the field, all his teammates came to him. He left the field to the applause of 80,000 Real Madrid fans and couldn't hold back his tears. In his post-match interview, he said, I'm emotionally strong, but seeing my kids' reaction destroyed me. He posed with the 22 trophies he won at Real Madrid in this manner. As a football lover, if you are sad about Crouch retiring from football, can you like the video?"
