season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2016,21-08-16,1869,Spanish Primera Division,Real Sociedad,Real Madrid,72.76,92.61,0.1587,0.6621,0.1792,1.24,2.28,28.6,49.1,0,3,0.37,2.57,0.87,1.9,0,2.63
2016,27-08-16,1869,Spanish Primera Division,Real Madrid,Celta Vigo,93.19,71.87,0.8904,0.0284,0.0812,2.92,0.6,44.8,24.3,2,1,2.62,0.26,1.52,0.89,2.1,1.05
2016,10-09-16,1869,Spanish Primera Division,Real Madrid,Osasuna,92.9,56.39,0.9278,0.0132,0.059,3.02,0.36,47.6,34.4,5,2,4.09,1.05,3.11,1.19,5.25,2.1
2016,14-09-16,1818,UEFA Champions League,Real Madrid,Sporting CP,92.58,73.03,0.7595,0.0836,0.157,2.47,0.53,,,2,1,1.59,0.31,1.15,0.64,2.1,1.05
2016,18-09-16,1869,Spanish Primera Division,Espanyol,Real Madrid,68.63,92.46,0.1446,0.6889,0.1664,1.21,2.52,25.9,71.3,0,2,1.07,1.24,0.9,1.05,0,2.1
2016,21-09-16,1869,Spanish Primera Division,Real Madrid,Villarreal,92.6,78.21,0.7775,0.0744,0.1481,2.42,0.65,,,1,1,1.53,1.12,3.07,0.67,1.05,1.05
2016,24-09-16,1869,Spanish Primera Division,Las Palmas,Real Madrid,65.13,92.22,0.1296,0.7125,0.1579,1.19,2.71,21.2,64,2,2,1.15,3.21,0.62,1.84,2.1,2.1
2016,27-09-16,1818,UEFA Champions League,Borussia Dortmund,Real Madrid,89.43,91.95,0.4565,0.3137,0.2298,1.91,1.65,,,2,2,1.83,2.6,1.75,1.66,2.1,2.1
2016,02-10-16,1869,Spanish Primera Division,Real Madrid,Eibar,92.12,66.01,0.8899,0.0259,0.0843,2.84,0.42,55.1,18.9,1,1,2.19,0.37,2.99,0.81,1.05,1.05
2016,15-10-16,1869,Spanish Primera Division,Real Betis,Real Madrid,69.7,91.59,0.1585,0.6609,0.1806,1.22,2.32,16.7,46.4,1,6,1.08,4.09,1.19,3.17,1.05,6.09
2016,18-10-16,1818,UEFA Champions League,Real Madrid,Legia Warsaw,92.48,45.82,0.9117,0.0212,0.0671,3.38,0.2,,,5,1,3.39,1.5,3.66,0.81,4.89,1.05
2016,23-10-16,1869,Spanish Primera Division,Real Madrid,Athletic Bilbao,92.41,76.78,0.8162,0.0608,0.123,2.65,0.73,62.3,49.9,2,1,4.72,1.25,2.62,0.47,2.1,1.05
2016,29-10-16,1869,Spanish Primera Division,Alavés,Real Madrid,62.71,92.45,0.1161,0.73,0.1539,1.02,2.57,33.4,46,1,4,1.36,2.43,0.99,0.96,1.05,3.38
